"ลำดับ","รหัส อปท","ชื่อ อปท","อำเภอ","จังหวัด"
"1","2110101","องค์การบริหารส่วนจังหวัด สมุทรปราการ","เมืองสมุทรปราการ","สมุทรปราการ"
"2","3110102","เทศบาลนคร สมุทรปราการ","เมืองสมุทรปราการ","สมุทรปราการ"
"3","4110103","เทศบาลเมือง ปากน้ำสมุทรปราการ","เมืองสมุทรปราการ","สมุทรปราการ"
"4","5110104","เทศบาลตำบล ด่านสำโรง","เมืองสมุทรปราการ","สมุทรปราการ"
"5","5110105","เทศบาลตำบล บางปู","เมืองสมุทรปราการ","สมุทรปราการ"
"6","5110106","เทศบาลตำบล บางเมือง","เมืองสมุทรปราการ","สมุทรปราการ"
"7","5110107","เทศบาลตำบล แพรกษา","เมืองสมุทรปราการ","สมุทรปราการ"
"8","5110108","เทศบาลตำบล สำโรงเหนือ","เมืองสมุทรปราการ","สมุทรปราการ"
"9","6110109","องค์การบริหารส่วนตำบล แพรกษาใหม่","เมืองสมุทรปราการ","สมุทรปราการ"
"10","6110110","องค์การบริหารส่วนตำบล เทพารักษ์","เมืองสมุทรปราการ","สมุทรปราการ"
"11","6110111","องค์การบริหารส่วนตำบล บางด้วน","เมืองสมุทรปราการ","สมุทรปราการ"
"12","6110112","องค์การบริหารส่วนตำบล บางโปรง","เมืองสมุทรปราการ","สมุทรปราการ"
"13","6110113","องค์การบริหารส่วนตำบล แพรกษา","เมืองสมุทรปราการ","สมุทรปราการ"
"14","5110201","เทศบาลตำบล บางพลีน้อย","บางบ่อ","สมุทรปราการ"
"15","5110202","เทศบาลตำบล คลองด่าน","บางบ่อ","สมุทรปราการ"
"16","5110203","เทศบาลตำบล คลองสวน","บางบ่อ","สมุทรปราการ"
"17","5110204","เทศบาลตำบล บางบ่อ","บางบ่อ","สมุทรปราการ"
"18","6110205","องค์การบริหารส่วนตำบล คลองด่าน","บางบ่อ","สมุทรปราการ"
"19","6110206","องค์การบริหารส่วนตำบล คลองนิยมยาตรา","บางบ่อ","สมุทรปราการ"
"20","6110207","องค์การบริหารส่วนตำบล บางบ่อ","บางบ่อ","สมุทรปราการ"
"21","6110208","องค์การบริหารส่วนตำบล บางเพรียง","บางบ่อ","สมุทรปราการ"
"22","6110209","องค์การบริหารส่วนตำบล บ้านระกาศ","บางบ่อ","สมุทรปราการ"
"23","6110210","องค์การบริหารส่วนตำบล เปร็ง","บางบ่อ","สมุทรปราการ"
"24","5110301","เทศบาลตำบล บางพลี","บางพลี","สมุทรปราการ"
"25","6110302","องค์การบริหารส่วนตำบล บางแก้ว","บางพลี","สมุทรปราการ"
"26","6110303","องค์การบริหารส่วนตำบล บางโฉลง","บางพลี","สมุทรปราการ"
"27","6110304","องค์การบริหารส่วนตำบล บางปลา","บางพลี","สมุทรปราการ"
"28","6110305","องค์การบริหารส่วนตำบล บางพลีใหญ่","บางพลี","สมุทรปราการ"
"29","6110306","องค์การบริหารส่วนตำบล ราชาเทวะ","บางพลี","สมุทรปราการ"
"30","6110307","องค์การบริหารส่วนตำบล หนองปรือ","บางพลี","สมุทรปราการ"
"31","4110401","เทศบาลเมือง พระประแดง","พระประแดง","สมุทรปราการ"
"32","4110402","เทศบาลเมือง ลัดหลวง","พระประแดง","สมุทรปราการ"
"33","4110403","เทศบาลเมือง ปู่เจ้าสมิงพราย","พระประแดง","สมุทรปราการ"
"34","6110404","องค์การบริหารส่วนตำบล ทรงคนอง","พระประแดง","สมุทรปราการ"
"35","6110405","องค์การบริหารส่วนตำบล บางกะเจ้า","พระประแดง","สมุทรปราการ"
"36","6110406","องค์การบริหารส่วนตำบล บางกระสอบ","พระประแดง","สมุทรปราการ"
"37","6110407","องค์การบริหารส่วนตำบล บางกอบัว","พระประแดง","สมุทรปราการ"
"38","6110408","องค์การบริหารส่วนตำบล บางน้ำผึ้ง","พระประแดง","สมุทรปราการ"
"39","6110409","องค์การบริหารส่วนตำบล บางยอ","พระประแดง","สมุทรปราการ"
"40","5110501","เทศบาลตำบล พระสมุทรเจดีย์","พระสมุทรเจดีย์","สมุทรปราการ"
"41","5110502","เทศบาลตำบล แหลมฟ้าผ่า","พระสมุทรเจดีย์","สมุทรปราการ"
"42","6110503","องค์การบริหารส่วนตำบล นาเกลือ","พระสมุทรเจดีย์","สมุทรปราการ"
"43","6110504","องค์การบริหารส่วนตำบล ในคลองบางปลากด","พระสมุทรเจดีย์","สมุทรปราการ"
"44","6110505","องค์การบริหารส่วนตำบล บ้านคลองสวน","พระสมุทรเจดีย์","สมุทรปราการ"
"45","6110506","องค์การบริหารส่วนตำบล แหลมฟ้าผ่า","พระสมุทรเจดีย์","สมุทรปราการ"
"46","5110601","เทศบาลตำบล บางเสาธง","บางเสาธง","สมุทรปราการ"
"47","6110602","องค์การบริหารส่วนตำบล บางเสาธง","บางเสาธง","สมุทรปราการ"
"48","6110603","องค์การบริหารส่วนตำบล ศีรษะจรเข้น้อย","บางเสาธง","สมุทรปราการ"
"49","6110604","องค์การบริหารส่วนตำบล ศีรษะจรเข้ใหญ่","บางเสาธง","สมุทรปราการ"
"50","2120101","องค์การบริหารส่วนจังหวัด นนทบุรี","เมืองนนทบุรี","นนทบุรี"
"51","3120102","เทศบาลนคร นนทบุรี","เมืองนนทบุรี","นนทบุรี"
"52","4120103","เทศบาลเมือง บางศรีเมือง","เมืองนนทบุรี","นนทบุรี"
"53","5120104","เทศบาลตำบล ไทรม้า","เมืองนนทบุรี","นนทบุรี"
"54","6120105","องค์การบริหารส่วนตำบล บางกร่าง","เมืองนนทบุรี","นนทบุรี"
"55","6120106","องค์การบริหารส่วนตำบล บางไผ่","เมืองนนทบุรี","นนทบุรี"
"56","6120107","องค์การบริหารส่วนตำบล บางรักน้อย","เมืองนนทบุรี","นนทบุรี"
"57","4120201","เทศบาลเมือง บางกรวย","บางกรวย","นนทบุรี"
"58","5120202","เทศบาลตำบล ปลายบาง","บางกรวย","นนทบุรี"
"59","5120203","เทศบาลตำบล ศาลากลาง","บางกรวย","นนทบุรี"
"60","5120206","เทศบาลตำบล บางสีทอง","บางกรวย","นนทบุรี"
"61","6120204","องค์การบริหารส่วนตำบล บางขนุน","บางกรวย","นนทบุรี"
"62","6120205","องค์การบริหารส่วนตำบล บางขุนกอง","บางกรวย","นนทบุรี"
"63","6120207","องค์การบริหารส่วนตำบล มหาสวัสดิ์","บางกรวย","นนทบุรี"
"64","5120301","เทศบาลตำบล บ้านบางม่วง","บางใหญ่","นนทบุรี"
"65","5120302","เทศบาลตำบล บางเลน","บางใหญ่","นนทบุรี"
"66","5120303","เทศบาลตำบล เสาธงหิน","บางใหญ่","นนทบุรี"
"67","5120304","เทศบาลตำบล บางม่วง","บางใหญ่","นนทบุรี"
"68","5120305","เทศบาลตำบล บางใหญ่","บางใหญ่","นนทบุรี"
"69","6120306","องค์การบริหารส่วนตำบล บางแม่นาง","บางใหญ่","นนทบุรี"
"70","6120307","องค์การบริหารส่วนตำบล บางใหญ่","บางใหญ่","นนทบุรี"
"71","6120308","องค์การบริหารส่วนตำบล บ้านใหม่","บางใหญ่","นนทบุรี"
"72","4120401","เทศบาลเมือง บางบัวทอง","บางบัวทอง","นนทบุรี"
"73","4120406","เทศบาลเมือง พิมลราช","บางบัวทอง","นนทบุรี"
"74","6120402","องค์การบริหารส่วนตำบล บางคูรัด","บางบัวทอง","นนทบุรี"
"75","6120403","องค์การบริหารส่วนตำบล บางบัวทอง","บางบัวทอง","นนทบุรี"
"76","6120404","องค์การบริหารส่วนตำบล บางรักพัฒนา","บางบัวทอง","นนทบุรี"
"77","6120405","องค์การบริหารส่วนตำบล บางรักใหญ่","บางบัวทอง","นนทบุรี"
"78","6120407","องค์การบริหารส่วนตำบล ละหาร","บางบัวทอง","นนทบุรี"
"79","6120408","องค์การบริหารส่วนตำบล ลำโพ","บางบัวทอง","นนทบุรี"
"80","5120501","เทศบาลตำบล ไทรน้อย","ไทรน้อย","นนทบุรี"
"81","6120502","องค์การบริหารส่วนตำบล ขุนศรี","ไทรน้อย","นนทบุรี"
"82","6120503","องค์การบริหารส่วนตำบล คลองขวาง","ไทรน้อย","นนทบุรี"
"83","6120504","องค์การบริหารส่วนตำบล ทวีวัฒนา","ไทรน้อย","นนทบุรี"
"84","6120505","องค์การบริหารส่วนตำบล ไทรน้อย","ไทรน้อย","นนทบุรี"
"85","6120506","องค์การบริหารส่วนตำบล ไทรใหญ่","ไทรน้อย","นนทบุรี"
"86","6120507","องค์การบริหารส่วนตำบล ราษฎร์นิยม","ไทรน้อย","นนทบุรี"
"87","6120508","องค์การบริหารส่วนตำบล หนองเพรางาย","ไทรน้อย","นนทบุรี"
"88","3120601","เทศบาลนคร ปากเกร็ด","ปากเกร็ด","นนทบุรี"
"89","5120607","เทศบาลตำบล บางพลับ","ปากเกร็ด","นนทบุรี"
"90","6120602","องค์การบริหารส่วนตำบล เกาะเกร็ด","ปากเกร็ด","นนทบุรี"
"91","6120603","องค์การบริหารส่วนตำบล คลองข่อย","ปากเกร็ด","นนทบุรี"
"92","6120604","องค์การบริหารส่วนตำบล คลองพระอุดม","ปากเกร็ด","นนทบุรี"
"93","6120605","องค์การบริหารส่วนตำบล ท่าอิฐ","ปากเกร็ด","นนทบุรี"
"94","6120606","องค์การบริหารส่วนตำบล บางตะไนย์","ปากเกร็ด","นนทบุรี"
"95","6120608","องค์การบริหารส่วนตำบล อ้อมเกร็ด","ปากเกร็ด","นนทบุรี"
"96","2130101","องค์การบริหารส่วนจังหวัด ปทุมธานี","เมืองปทุมธานี","ปทุมธานี"
"97","4130102","เทศบาลเมือง ปทุมธานี","เมืองปทุมธานี","ปทุมธานี"
"98","4130103","เทศบาลเมือง บางคูวัด","เมืองปทุมธานี","ปทุมธานี"
"99","5130104","เทศบาลตำบล บางขะแยง","เมืองปทุมธานี","ปทุมธานี"
"100","5130105","เทศบาลตำบล บางเดื่อ","เมืองปทุมธานี","ปทุมธานี"
"101","5130106","เทศบาลตำบล บางพูน","เมืองปทุมธานี","ปทุมธานี"
"102","5130107","เทศบาลตำบล บ้านกลาง","เมืองปทุมธานี","ปทุมธานี"
"103","5130108","เทศบาลตำบล บ้านใหม่","เมืองปทุมธานี","ปทุมธานี"
"104","5130109","เทศบาลตำบล บางหลวง","เมืองปทุมธานี","ปทุมธานี"
"105","5130110","เทศบาลตำบล บางกะดี","เมืองปทุมธานี","ปทุมธานี"
"106","5130111","เทศบาลตำบล หลักหก","เมืองปทุมธานี","ปทุมธานี"
"107","6130112","องค์การบริหารส่วนตำบล บางพูด","เมืองปทุมธานี","ปทุมธานี"
